Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
2013,3,3.136,2.172,1.923,0.125,0.121,-1.680,-1.804,0.184,3.976,3.602,0.249,0.125,0.080,6.290,-2.677,0
2013,4,3.192,2.228,1.900,0.131,0.125,-1.650,-1.768,0.230,3.996,3.550,0.328,0.118,0.060,6.240,-2.382,0
2013,5,3.402,2.303,1.955,0.187,0.182,-1.591,-1.732,0.285,4.035,3.547,0.348,0.141,0.020,6.260,-2.644,0
2013,6,3.196,1.906,1.558,-0.203,-0.218,-1.995,-2.188,-0.141,4.094,3.553,0.348,0.194,0.110,6.320,-2.815,0
2013,7,2.812,1.837,1.509,-0.213,-0.218,-1.946,-2.149,-0.156,3.986,3.455,0.328,0.203,0.160,6.380,-3.058,0
2013,8,3.009,2.129,1.854,0.138,0.144,-1.565,-1.749,0.190,3.878,3.419,0.276,0.184,0.090,6.340,-2.392,0
2013,9,3.346,2.497,2.254,0.535,0.536,-1.181,-1.316,0.591,3.812,3.435,0.243,0.135,0.110,6.310,-1.988,0
2013,10,4.045,2.897,2.680,0.968,0.969,-0.741,-0.843,1.027,3.740,3.422,0.217,0.102,0.130,6.350,-1.450,0
2013,11,3.937,2.828,2.490,0.761,0.758,-0.974,-1.115,0.856,3.944,3.465,0.338,0.141,0.110,6.310,-1.926,0
2013,12,3.763,2.359,1.985,0.213,0.203,-1.578,-1.752,0.303,4.111,3.563,0.374,0.174,0.060,6.290,-2.549,0
2014,1,3.717,2.382,2.041,0.220,0.217,-1.608,-1.814,0.284,4.196,3.648,0.341,0.207,0.130,6.260,-3.209,0
2014,2,3.255,2.234,1.978,0.230,0.225,-1.529,-1.670,0.282,3.904,3.507,0.256,0.141,0.060,6.210,-2.497,0
2014,3,3.261,2.356,2.129,0.292,0.290,-1.549,-1.667,0.344,4.022,3.678,0.226,0.118,0.010,6.250,-2.530,0
2014,4,3.235,2.375,2.057,0.276,0.274,-1.509,-1.627,0.374,4.003,3.566,0.318,0.118,0.030,6.290,-2.487,0
2014,5,3.104,2.339,1.975,0.220,0.221,-1.532,-1.673,0.333,4.012,3.507,0.364,0.141,0.070,6.300,-2.244,0
2014,6,2.920,2.320,1.909,0.151,0.164,-1.581,-1.729,0.295,4.049,3.491,0.410,0.148,0.150,6.340,-2.858,0
