Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
2013,3,2.631,1.821,1.680,0.272,0.258,-1.165,-1.302,0.259,3.123,2.844,0.141,0.138,0.370,6.540,-2.087,0
2013,4,2.556,1.650,1.486,0.085,0.072,-1.342,-1.476,0.085,3.127,2.828,0.164,0.135,0.350,6.560,-1.982,0
2013,5,2.497,1.798,1.617,0.200,0.187,-1.247,-1.398,0.200,3.196,2.864,0.180,0.151,0.380,6.580,-2.106,0
2013,6,2.208,1.509,1.342,-0.072,-0.084,-1.509,-1.657,-0.074,3.166,2.851,0.167,0.148,0.460,6.660,-2.352,0
2013,7,2.484,1.647,1.483,0.102,0.089,-1.306,-1.440,0.103,3.087,2.789,0.164,0.135,0.500,6.680,-2.123,0
2013,8,2.277,1.585,1.493,0.115,0.110,-1.273,-1.421,0.082,3.005,2.766,0.092,0.148,0.520,6.680,-2.051,0
2013,9,2.608,2.005,1.896,0.522,0.515,-0.866,-1.004,0.502,3.005,2.762,0.108,0.135,0.470,6.620,-1.680,0
2013,10,3.005,2.297,2.192,0.833,0.820,-0.548,-0.653,0.823,2.949,2.740,0.105,0.102,0.470,6.630,-1.175,0
2013,11,2.762,2.228,2.051,0.686,0.669,-0.712,-0.840,0.694,3.068,2.762,0.177,0.128,0.470,6.660,-1.549,0
2013,12,2.949,1.860,1.677,0.246,0.238,-1.201,-1.371,0.244,3.232,2.877,0.184,0.171,0.460,6.650,-1.896,0
2014,1,2.707,1.870,1.696,0.256,0.240,-1.217,-1.381,0.243,3.251,2.913,0.174,0.167,0.400,6.560,-2.287,0
2014,2,2.536,1.821,1.686,0.292,0.277,-1.132,-1.263,0.279,3.084,2.818,0.135,0.131,0.450,6.630,-1.873,0
2014,3,2.392,1.795,1.660,0.210,0.200,-1.260,-1.365,0.217,3.156,2.920,0.135,0.105,0.410,6.590,-2.011,0
2014,4,2.818,1.824,1.657,0.243,0.236,-1.188,-1.319,0.253,3.143,2.841,0.167,0.131,0.410,6.580,-2.041,0
2014,5,2.582,1.906,1.696,0.292,0.281,-1.135,-1.280,0.313,3.186,2.831,0.210,0.144,0.400,6.600,-1.798,0
2014,6,2.060,1.654,1.473,0.072,0.062,-1.348,-1.493,0.082,3.146,2.822,0.177,0.144,0.450,6.640,-2.287,0
2014,7,2.365,1.654,1.509,0.118,0.108,-1.296,-1.447,0.105,3.097,2.805,0.144,0.151,0.460,6.630,-2.270,0
2014,8,2.618,1.949,1.841,0.440,0.430,-0.981,-1.112,0.420,3.061,2.822,0.108,0.131,0.440,6.640,-1.936,0
2014,9,2.592,2.162,2.051,0.643,0.633,-0.784,-0.912,0.625,3.074,2.835,0.112,0.128,0.450,6.610,-1.837,0
2014,10,2.890,2.247,2.090,0.682,0.659,-0.771,-0.889,0.679,3.136,2.861,0.157,0.118,0.450,6.610,-1.503,0
2014,11,2.753,2.297,2.123,0.719,0.705,-0.712,-0.860,0.719,3.156,2.835,0.174,0.148,0.410,6.560,-1.453,0
