Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
2013,3,2.241,1.401,1.335,0.236,0.272,-0.791,-0.889,0.256,2.290,2.126,0.066,0.098,1.460,7.600,-1.381,0
2013,4,1.864,1.178,1.115,0.049,0.082,-0.951,-1.076,0.049,2.251,2.067,0.062,0.125,1.400,7.610,-1.450,0
2013,5,1.827,1.430,1.358,0.276,0.308,-0.741,-0.846,0.292,2.277,2.100,0.075,0.105,1.430,7.600,-1.296,0
2013,6,1.519,1.109,1.040,-0.010,0.023,-0.994,-1.115,-0.003,2.224,2.034,0.069,0.121,1.500,7.710,-1.519,0
2013,7,1.811,1.348,1.296,0.256,0.282,-0.728,-0.823,0.262,2.172,2.024,0.052,0.095,1.520,7.720,-1.270,0
2013,8,1.995,1.296,1.257,0.220,0.253,-0.751,-0.860,0.218,2.156,2.008,0.039,0.108,1.550,7.700,-1.207,0
2013,9,2.201,1.663,1.627,0.561,0.594,-0.440,-0.525,0.569,2.188,2.067,0.036,0.085,1.480,7.580,-0.925,0
2013,10,2.592,1.946,1.893,0.814,0.843,-0.203,-0.285,0.830,2.231,2.096,0.052,0.079,1.500,7.590,-0.679,0
2013,11,2.356,1.824,1.759,0.676,0.709,-0.341,-0.446,0.689,2.270,2.100,0.066,0.105,1.510,7.580,-1.073,0
2013,12,2.375,1.450,1.371,0.282,0.315,-0.745,-0.866,0.292,2.316,2.116,0.079,0.121,1.510,7.660,-1.237,0
2014,1,2.001,1.398,1.316,0.210,0.246,-0.823,-0.935,0.231,2.333,2.139,0.082,0.112,1.530,7.650,-1.368,0
2014,2,2.028,1.424,1.378,0.289,0.325,-0.728,-0.840,0.292,2.264,2.106,0.046,0.112,1.510,7.670,-1.260,0
2014,3,1.903,1.348,1.289,0.180,0.217,-0.853,-0.948,0.200,2.297,2.139,0.059,0.095,1.470,7.680,-1.325,0
2014,4,2.159,1.394,1.335,0.249,0.279,-0.778,-0.886,0.254,2.280,2.113,0.059,0.108,1.450,7.620,-1.365,0
2014,5,1.850,1.447,1.371,0.299,0.331,-0.705,-0.817,0.315,2.264,2.077,0.075,0.112,1.460,7.590,-1.280,0
2014,6,1.493,1.250,1.178,0.128,0.161,-0.856,-0.955,0.148,2.205,2.034,0.072,0.098,1.500,7.700,-1.516,0
2014,7,1.614,1.240,1.191,0.151,0.180,-0.830,-0.925,0.157,2.169,2.021,0.052,0.095,1.520,7.680,-1.322,0
