Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
2013,3,1.181,0.617,0.509,0.210,0.207,-0.095,-0.246,0.185,0.863,0.604,0.108,0.151,,,-0.640,0
2013,4,1.010,0.443,0.318,0.026,0.025,-0.269,-0.479,-0.018,0.922,0.587,0.125,0.210,,,-0.676,0
2013,5,1.076,0.640,0.492,0.226,0.207,-0.079,-0.282,0.179,0.922,0.571,0.148,0.203,,,-0.653,0
2013,6,0.823,0.486,0.331,0.082,0.030,-0.272,-0.384,0.051,0.869,0.604,0.154,0.112,,,-0.696,0
2013,7,1.001,0.758,0.600,0.308,0.271,-0.059,-0.167,0.295,0.925,0.659,0.157,0.108,,,-0.587,0
2013,8,1.063,0.741,0.607,0.341,0.302,-0.003,-0.105,0.318,0.846,0.610,0.135,0.102,,,-0.410,0
2013,9,1.296,0.965,0.823,0.581,0.540,0.256,0.131,0.548,0.833,0.568,0.141,0.125,,,-0.157,0
2013,10,1.411,1.122,1.027,0.761,0.750,0.472,0.305,0.714,0.817,0.554,0.095,0.167,,,-0.164,0
2013,11,1.493,1.102,0.984,0.679,0.684,0.384,0.187,0.645,0.915,0.600,0.118,0.197,,,-0.161,0
2013,12,1.529,0.840,0.699,0.344,0.326,-0.046,-0.197,0.322,1.037,0.745,0.141,0.151,,,-0.545,0
2014,1,1.050,0.705,0.591,0.240,0.217,-0.157,-0.279,0.213,0.984,0.748,0.115,0.121,,,-0.584,0
2014,2,1.040,0.715,0.597,0.253,0.256,-0.085,-0.220,0.248,0.935,0.682,0.118,0.135,,,-0.551,0
2014,3,1.093,0.545,0.407,0.144,0.121,-0.164,-0.305,0.120,0.850,0.571,0.138,0.141,,,-0.653,0
2014,4,1.076,0.554,0.423,0.144,0.131,-0.161,-0.344,0.105,0.899,0.584,0.131,0.184,,,-0.768,0
2014,5,1.168,0.669,0.558,0.272,0.267,-0.023,-0.226,0.221,0.896,0.581,0.112,0.203,,,-0.509,0
2014,6,0.817,0.574,0.443,0.148,0.146,-0.151,-0.364,0.105,0.938,0.594,0.131,0.213,,,-0.676,0
2014,7,1.030,0.722,0.597,0.312,0.279,-0.039,-0.144,0.289,0.866,0.636,0.125,0.105,,,-0.358,0
2014,8,1.375,0.955,0.853,0.535,0.515,0.177,0.072,0.513,0.883,0.676,0.102,0.105,,,-0.272,0
2014,9,1.522,1.079,0.948,0.643,0.627,0.305,0.148,0.614,0.932,0.643,0.131,0.157,,,-0.157,0
2014,10,1.450,1.125,1.007,0.725,0.709,0.410,0.203,0.664,0.922,0.597,0.118,0.207,,,-0.194,0
