Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
2013,3,1.656,0.996,0.747,0.107,0.092,-0.562,-0.746,0.125,1.742,1.309,0.249,0.184,2.550,8.200,-1.366,0
2013,4,1.692,0.908,0.661,0.028,0.017,-0.628,-0.884,0.012,1.791,1.289,0.246,0.256,2.690,8.190,-1.235,0
2013,5,1.606,1.068,0.806,0.179,0.166,-0.474,-0.736,0.166,1.804,1.280,0.262,0.262,2.620,8.250,-1.340,0
2013,6,1.606,1.049,0.753,0.120,0.102,-0.549,-0.789,0.130,1.837,1.302,0.295,0.240,2.730,8.290,-1.202,0
2013,7,1.656,1.232,0.924,0.307,0.287,-0.349,-0.533,0.350,1.765,1.273,0.308,0.184,2.740,8.310,-1.031,0
2013,8,1.734,1.259,0.967,0.350,0.333,-0.300,-0.457,0.401,1.716,1.266,0.292,0.157,2.700,8.350,-0.835,0
2013,9,1.724,1.439,1.196,0.576,0.565,-0.067,-0.221,0.609,1.660,1.263,0.243,0.154,2.750,8.330,-0.500,0
2013,10,1.911,1.534,1.347,0.717,0.709,0.071,-0.103,0.716,1.637,1.276,0.187,0.174,2.740,8.340,-0.625,0
2013,11,1.980,1.485,1.239,0.619,0.607,-0.024,-0.254,0.616,1.739,1.263,0.246,0.230,2.690,8.300,-0.799,0
2013,12,2.053,1.252,0.947,0.304,0.289,-0.369,-0.628,0.312,1.880,1.316,0.305,0.259,2.760,8.250,-1.130,0
2014,1,1.679,1.108,0.796,0.143,0.130,-0.536,-0.736,0.186,1.844,1.332,0.312,0.200,2.620,8.230,-1.304,0
2014,2,1.505,1.065,0.799,0.166,0.153,-0.493,-0.661,0.202,1.726,1.293,0.266,0.167,2.670,8.270,-1.008,0
2014,3,1.285,0.908,0.704,0.032,0.017,-0.671,-0.844,0.032,1.752,1.375,0.203,0.174,2.620,8.270,-1.248,0
2014,4,1.724,0.957,0.734,0.084,0.076,-0.582,-0.828,0.064,1.785,1.316,0.223,0.246,2.600,8.310,-1.330,0
2014,5,1.675,1.209,0.934,0.310,0.296,-0.342,-0.605,0.302,1.814,1.276,0.276,0.262,2.720,8.280,-1.235,0
2014,6,1.327,1.039,0.734,0.110,0.097,-0.539,-0.776,0.132,1.814,1.273,0.305,0.236,2.650,8.400,-1.333,0
2014,7,1.679,1.147,0.868,0.245,0.230,-0.408,-0.595,0.276,1.742,1.276,0.279,0.187,2.710,8.350,-1.028,0
2014,8,1.836,1.406,1.137,0.507,0.494,-0.149,-0.287,0.560,1.693,1.286,0.269,0.138,2.670,8.310,-0.828,0
2014,9,1.823,1.478,1.236,0.612,0.593,-0.050,-0.182,0.648,1.660,1.286,0.243,0.131,2.710,8.320,-0.661,0
2014,10,2.059,1.531,1.321,0.678,0.670,0.018,-0.182,0.675,1.713,1.302,0.210,0.200,2.680,8.290,-0.493,0
2014,11,2.197,1.475,1.245,0.599,0.599,-0.047,-0.280,0.597,1.755,1.293,0.230,0.233,2.630,8.270,-0.651,0
2015,2,1.833,1.098,0.832,0.186,0.174,-0.484,-0.648,0.225,1.745,1.316,0.266,0.164,2.540,8.200,-1.022,0
2015,3,1.324,0.819,0.602,-0.028,-0.039,-0.680,-0.861,-0.021,1.680,1.283,0.217,0.180,2.670,8.330,-1.218,0
2015,4,1.596,0.976,0.793,0.156,0.150,-0.493,-0.720,0.128,1.696,1.286,0.184,0.226,2.660,8.330,-1.091,0
2015,5,1.570,1.160,0.921,0.291,0.281,-0.359,-0.615,0.273,1.775,1.280,0.240,0.256,2.740,8.360,-1.061,0
2015,6,1.580,1.075,0.773,0.140,0.125,-0.523,-0.792,0.141,1.867,1.296,0.302,0.269,2.660,8.310,-1.133,0
2015,7,1.708,1.173,0.875,0.242,0.230,-0.415,-0.654,0.260,1.827,1.289,0.299,0.240,2.610,8.390,-1.150,0
2015,8,1.931,1.465,1.183,0.534,0.522,-0.139,-0.303,0.581,1.768,1.322,0.282,0.164,2.710,8.340,-0.720,0
2015,9,2.279,1.580,1.370,0.727,0.716,0.061,-0.096,0.742,1.677,1.309,0.210,0.157,2.730,8.330,-0.500,0
2015,10,2.371,1.980,1.767,1.095,1.091,0.415,0.212,1.096,1.768,1.352,0.213,0.203,2.650,8.310,-0.447,0
2015,11,2.016,1.544,1.301,0.665,0.657,0.012,-0.221,0.661,1.765,1.289,0.243,0.233,2.720,8.290,-0.805,0
2015,12,1.961,1.429,1.160,0.524,0.512,-0.136,-0.385,0.522,1.814,1.296,0.269,0.249,2.640,8.300,-1.058,0
2016,1,2.076,1.318,1.042,0.419,0.410,-0.221,-0.428,0.445,1.745,1.263,0.276,0.207,2.560,8.310,-1.209,0
2016,2,1.623,1.147,0.901,0.271,0.258,-0.385,-0.539,0.304,1.686,1.286,0.246,0.154,2.650,8.320,-0.963,0
2016,3,1.508,0.986,0.763,0.137,0.125,-0.513,-0.707,0.140,1.693,1.276,0.223,0.194,2.650,8.270,-1.077,0
2016,4,1.551,1.150,0.950,0.314,0.307,-0.336,-0.549,0.301,1.699,1.286,0.200,0.213,2.720,8.310,-1.228,0
2016,5,1.793,1.157,0.937,0.297,0.297,-0.342,-0.582,0.287,1.739,1.280,0.220,0.240,2.660,8.330,-0.986,0
2016,6,1.711,1.062,0.776,0.117,0.112,-0.552,-0.795,0.133,1.857,1.329,0.285,0.243,2.640,8.350,-1.130,0
2016,7,1.596,1.085,0.786,0.146,0.133,-0.520,-0.749,0.168,1.834,1.306,0.299,0.230,2.710,8.410,-1.304,0
2016,8,1.803,1.285,1.009,0.379,0.363,-0.283,-0.441,0.422,1.726,1.293,0.276,0.157,2.760,8.370,-0.799,0
2016,9,1.744,1.272,1.052,0.419,0.409,-0.234,-0.385,0.443,1.657,1.286,0.220,0.151,2.690,8.410,-0.848,0
2016,10,2.532,1.705,1.534,0.904,0.898,0.261,0.051,0.878,1.654,1.273,0.171,0.210,2.730,8.330,-0.477,0
2016,11,2.479,1.629,1.390,0.753,0.743,0.097,-0.142,0.743,1.772,1.293,0.240,0.240,2.710,8.300,-0.654,0
2016,12,1.869,1.219,0.921,0.291,0.278,-0.365,-0.605,0.307,1.824,1.286,0.299,0.240,2.710,8.270,-1.091,0
2017,1,1.672,1.111,0.832,0.192,0.179,-0.474,-0.687,0.212,1.798,1.306,0.279,0.213,2.570,8.290,-1.195,0
2017,2,1.380,0.855,0.602,-0.034,-0.044,-0.690,-0.867,-0.006,1.722,1.293,0.253,0.177,2.650,8.300,-1.422,0
