Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
2013,3,2.326,1.266,1.020,0.039,-0.002,-1.024,-1.398,-0.066,2.664,2.044,0.246,0.374,,,-2.188,0
2013,4,2.129,1.260,1.040,0.059,0.008,-1.024,-1.572,-0.156,2.831,2.064,0.220,0.548,5.020,11.230,-2.503,0
2013,5,1.854,1.352,1.099,0.164,0.118,-0.863,-1.483,-0.066,2.835,1.962,0.253,0.620,5.140,11.320,-2.703,0
2013,6,2.218,1.486,1.204,0.223,0.169,-0.866,-1.463,0.011,2.949,2.070,0.282,0.597,5.140,11.270,-2.530,0
2013,7,2.188,1.657,1.388,0.449,0.389,-0.610,-1.165,0.246,2.822,1.998,0.269,0.554,5.160,11.280,-2.136,0
2013,8,2.260,1.657,1.424,0.459,0.417,-0.591,-1.043,0.307,2.700,2.014,0.233,0.453,5.230,11.340,-1.549,0
2013,9,2.201,1.775,1.594,0.630,0.586,-0.423,-0.833,0.471,2.608,2.018,0.180,0.410,5.200,11.230,-1.424,0
2013,10,2.402,1.752,1.627,0.669,0.628,-0.371,-0.804,0.474,2.556,1.998,0.125,0.433,5.140,11.300,-1.404,0
2013,11,2.316,1.545,1.355,0.413,0.377,-0.600,-1.224,0.161,2.769,1.955,0.190,0.623,5.050,11.260,-2.444,0
2013,12,2.464,1.417,1.145,0.190,0.136,-0.873,-1.634,-0.108,3.051,2.018,0.272,0.761,5.040,11.140,-2.641,0
2014,1,2.100,1.263,0.961,-0.030,-0.087,-1.135,-1.788,-0.262,3.051,2.096,0.302,0.653,5.060,11.150,-3.373,0
2014,2,2.106,1.335,1.089,0.112,0.059,-0.971,-1.463,-0.064,2.799,2.060,0.246,0.492,5.060,11.190,-2.024,0
2014,3,2.106,1.280,1.083,0.092,0.010,-1.063,-1.509,-0.115,2.789,2.146,0.197,0.446,5.050,11.220,-2.057,0
2014,4,2.208,1.411,1.214,0.226,0.184,-0.846,-1.398,0.007,2.808,2.060,0.197,0.551,4.980,11.270,-2.034,0
2014,5,2.283,1.486,1.253,0.285,0.230,-0.794,-1.447,0.020,2.933,2.047,0.233,0.653,5.110,11.320,-2.851,0
