Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
2013,3,1.604,0.600,0.374,-0.052,-0.061,-0.495,-0.614,-0.007,1.214,0.869,0.226,0.118,,,-1.362,0
2013,4,1.542,0.646,0.440,0.026,0.011,-0.417,-0.525,0.061,1.171,0.856,0.207,0.108,,,-0.961,0
2013,5,1.371,0.774,0.538,0.135,0.125,-0.289,-0.417,0.179,1.191,0.827,0.236,0.128,,,-0.863,0
2013,6,2.188,1.007,0.761,0.341,0.326,-0.108,-0.279,0.364,1.286,0.869,0.246,0.171,,,-0.600,0
2013,7,1.841,1.394,1.155,0.745,0.741,0.328,0.246,0.820,1.148,0.827,0.240,0.082,,,0.020,0
2013,8,1.729,1.365,1.142,0.722,0.715,0.289,0.197,0.781,1.168,0.853,0.223,0.092,8.580,3.020,-0.049,0
2013,9,1.788,1.421,1.234,0.794,0.796,0.358,0.246,0.833,1.175,0.876,0.187,0.112,8.520,2.940,-0.007,0
2013,10,1.814,1.211,1.102,0.623,0.632,0.161,0.023,0.617,1.188,0.942,0.108,0.138,8.720,2.800,-0.915,0
2013,11,1.772,0.886,0.686,0.230,0.244,-0.197,-0.427,0.230,1.312,0.883,0.200,0.230,,,-1.617,0
2013,12,1.696,0.830,0.577,0.151,0.149,-0.279,-0.499,0.166,1.329,0.856,0.253,0.220,,,-1.509,0
2014,1,1.283,0.558,0.371,-0.128,-0.097,-0.564,-0.732,-0.087,1.289,0.935,0.187,0.167,,,-1.867,0
2014,2,1.604,0.807,0.614,0.151,0.151,-0.312,-0.469,0.169,1.276,0.925,0.194,0.157,,,-0.761,0
2014,3,1.539,0.755,0.577,0.112,0.112,-0.354,-0.509,0.123,1.263,0.932,0.177,0.154,,,-1.027,0
2014,4,1.706,0.909,0.699,0.240,0.228,-0.243,-0.384,0.262,1.293,0.942,0.210,0.141,,,-1.125,0
2014,5,1.870,0.935,0.692,0.279,0.266,-0.161,-0.338,0.299,1.273,0.853,0.243,0.177,8.940,2.870,-1.089,0
2014,6,1.722,0.981,0.728,0.322,0.300,-0.128,-0.262,0.359,1.243,0.856,0.253,0.135,,,-0.558,0
2014,7,1.342,1.053,0.801,0.361,0.349,-0.102,-0.217,0.418,1.270,0.902,0.253,0.115,8.920,2.840,-0.502,0
2014,8,1.640,1.230,1.007,0.538,0.533,0.059,-0.039,0.595,1.270,0.948,0.223,0.098,8.830,2.870,-0.295,0
2014,9,1.729,1.332,1.158,0.686,0.682,0.207,0.072,0.702,1.260,0.951,0.174,0.135,8.740,2.740,-0.226,0
2014,10,1.742,1.224,1.060,0.587,0.586,0.112,-0.059,0.582,1.283,0.948,0.164,0.171,8.830,2.770,-0.686,0
2014,11,2.149,0.909,0.719,0.279,0.277,-0.164,-0.354,0.277,1.263,0.883,0.190,0.190,,,-1.322,0
2014,12,1.631,1.099,0.853,0.417,0.407,-0.039,-0.220,0.440,1.319,0.892,0.246,0.180,8.820,2.760,-0.728,0
2015,1,1.650,0.768,0.528,0.059,0.069,-0.390,-0.554,0.107,1.322,0.919,0.240,0.164,,,-1.490,0
2015,2,1.657,0.699,0.469,0.030,0.011,-0.446,-0.577,0.061,1.276,0.915,0.230,0.131,,,-1.257,0
2015,3,1.424,0.659,0.440,0.010,-0.018,-0.476,-0.571,0.044,1.230,0.915,0.220,0.095,,,-1.188,0
2015,4,1.581,0.928,0.751,0.295,0.289,-0.174,-0.312,0.308,1.240,0.925,0.177,0.138,,,-0.607,0
2015,5,1.385,0.873,0.653,0.217,0.212,-0.230,-0.377,0.248,1.250,0.883,0.220,0.148,8.850,2.840,-0.656,0
2015,6,1.309,0.958,0.676,0.262,0.246,-0.184,-0.322,0.318,1.280,0.860,0.282,0.138,8.810,2.840,-0.525,0
2015,7,1.988,1.178,0.909,0.476,0.454,0.000,-0.121,0.528,1.299,0.909,0.269,0.121,8.780,2.770,-0.518,0
2015,8,1.808,1.378,1.135,0.666,0.658,0.180,0.098,0.738,1.280,0.955,0.243,0.082,8.670,2.700,-0.285,0
2015,9,2.149,1.414,1.247,0.764,0.763,0.279,0.171,0.792,1.243,0.968,0.167,0.108,8.590,2.650,-0.240,0
2015,10,2.438,1.588,1.444,0.935,0.935,0.427,0.269,0.928,1.319,1.017,0.144,0.157,8.660,2.570,-0.860,0
2015,11,1.759,1.142,0.955,0.502,0.500,0.046,-0.151,0.495,1.293,0.909,0.187,0.197,8.840,2.670,-0.981,0
2015,12,1.772,1.106,0.912,0.446,0.464,0.016,-0.207,0.449,1.312,0.896,0.194,0.223,,,-1.457,0
2016,1,2.598,1.198,0.912,0.459,0.418,-0.075,-0.226,0.486,1.424,0.988,0.285,0.151,,,-1.053,0
2016,2,2.096,1.079,0.856,0.397,0.412,-0.033,-0.203,0.438,1.283,0.889,0.223,0.171,,,-0.761,0
2016,3,1.371,0.866,0.679,0.217,0.217,-0.246,-0.404,0.231,1.270,0.925,0.187,0.157,,,-1.096,0
2016,4,1.742,1.037,0.846,0.377,0.376,-0.095,-0.266,0.385,1.302,0.942,0.190,0.171,,,-0.827,0
2016,5,1.739,1.227,1.017,0.551,0.550,0.082,-0.079,0.574,1.306,0.935,0.210,0.161,,,-0.666,0
2016,6,2.867,1.348,1.106,0.686,0.676,0.246,0.105,0.727,1.243,0.860,0.243,0.141,8.600,2.940,-0.466,0
2016,7,1.634,1.181,0.925,0.479,0.466,0.007,-0.102,0.540,1.283,0.919,0.256,0.108,8.750,2.890,-0.390,0
2016,8,2.188,1.289,1.056,0.581,0.576,0.095,-0.026,0.632,1.316,0.961,0.233,0.121,8.800,2.890,-0.354,0
2016,9,2.736,1.483,1.312,0.837,0.840,0.367,0.230,0.856,1.253,0.945,0.171,0.138,8.630,2.840,-0.069,0
2016,10,1.916,1.175,1.050,0.581,0.587,0.125,-0.033,0.571,1.207,0.925,0.125,0.157,8.680,2.910,-0.367,0
2016,11,1.808,1.184,0.988,0.512,0.513,0.039,-0.154,0.515,1.339,0.948,0.197,0.194,8.880,2.760,-0.617,0
2017,1,2.533,0.820,0.604,0.138,0.135,-0.335,-0.535,0.143,1.355,0.938,0.217,0.200,,,-1.896,0
2017,2,1.286,0.568,0.384,-0.062,-0.077,-0.538,-0.646,-0.039,1.214,0.922,0.184,0.108,,,-1.257,0
