Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
2013,3,1.883,0.994,0.741,0.003,-0.011,-0.764,-1.004,-0.005,1.998,1.506,0.253,0.240,,,-1.690,0
2013,4,2.070,1.076,0.791,0.089,0.046,-0.699,-1.001,0.038,2.077,1.490,0.285,0.302,,,-1.654,0
2013,5,1.670,1.152,0.850,0.164,0.161,-0.528,-1.001,0.075,2.152,1.378,0.302,0.472,,,-1.716,0
2013,6,2.769,1.381,0.984,0.328,0.318,-0.348,-0.807,0.287,2.188,1.332,0.397,0.459,,,-1.411,0
2013,7,2.083,1.555,1.211,0.535,0.523,-0.164,-0.531,0.512,2.087,1.375,0.344,0.367,,,-1.020,0
2013,8,1.903,1.512,1.240,0.525,0.500,-0.240,-0.554,0.479,2.067,1.480,0.272,0.315,,,-0.938,0
2013,9,1.978,1.575,1.371,0.656,0.650,-0.072,-0.413,0.581,1.988,1.444,0.203,0.341,,,-1.073,0
2013,10,2.116,1.483,1.332,0.650,0.655,-0.023,-0.404,0.540,1.886,1.355,0.151,0.381,,,-1.211,0
2013,11,2.182,1.237,0.991,0.367,0.369,-0.253,-0.787,0.225,2.024,1.243,0.246,0.535,,,-1.716,0
2013,12,2.293,1.220,0.915,0.200,0.192,-0.531,-1.040,0.090,2.260,1.447,0.305,0.509,,,-1.893,0
2014,1,1.923,1.024,0.597,-0.082,-0.141,-0.879,-1.263,-0.120,2.287,1.476,0.427,0.384,,,-2.264,0
2014,2,1.752,1.043,0.781,0.069,0.061,-0.659,-0.994,0.025,2.037,1.440,0.262,0.335,,,-1.490,0
2014,3,1.864,0.994,0.810,0.043,0.046,-0.719,-1.010,-0.008,2.005,1.529,0.184,0.292,,,-1.798,0
2014,4,1.972,1.188,0.922,0.213,0.202,-0.518,-0.906,0.141,2.093,1.440,0.266,0.387,,,-1.578,0
2014,5,2.231,1.309,0.968,0.292,0.287,-0.394,-0.909,0.200,2.218,1.362,0.341,0.515,,,-2.133,0
2014,6,2.178,1.368,0.984,0.341,0.341,-0.302,-0.823,0.272,2.192,1.286,0.384,0.522,6.190,12.160,-1.260,0
2014,7,1.913,1.355,1.010,0.325,0.322,-0.367,-0.810,0.272,2.165,1.378,0.344,0.443,,,-1.368,0
2014,8,2.090,1.493,1.204,0.482,0.471,-0.262,-0.541,0.476,2.034,1.467,0.289,0.279,,,-0.984,0
2014,9,2.083,1.549,1.309,0.610,0.594,-0.121,-0.446,0.551,1.995,1.430,0.240,0.325,,,-0.820,0
